#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,username,total_followers,total_following,total_posts
1,David Beckham @davidbeckham,87M,0.64%,United Kingdom,Sports Soccer Public Figure,26.1M,davidbeckham,88348986,622,1905
2,Emma Watson @emmawatson,75.4M,1.41%,United Kingdom,Entertainment and Music Fashion and Accessories Education Celebrity,22.6M,emmawatson,74323234,119,450
3,Tom Holland @tomholland2013,66.5M,4.52%,United Kingdom,Entertainment and Music Acting and Drama Actors,19.9M,tomholland2013,65111673,326,1261
4,Millie Bobby Brown @milliebobbybrown,63.3M,0.02%,United Kingdom,Celebrity Actors,19M,milliebobbybrown,63458434,869,509
5,Adele @adele,55.9M,4.14%,United Kingdom,Singer Music,16.8M,adele,57578034,1,495
6,Zayn Malik @zayn,52.2M,5.09%,United Kingdom,Entertainment and Music Music Singer Musician,15.7M,zayn,51872538,13,40
7,Ed Sheeran @teddysphotos,46.9M,0.81%,United Kingdom,Entertainment and Music Music Songwriting Singer,14.1M,teddysphotos,47886518,4,2400
8,Liverpool Football Club @liverpoolfc,44.3M,0.39%,United Kingdom,Sports Soccer,13.3M,liverpoolfc,45626236,296,28157
9,Cara Delevingne @caradelevingne,42.1M,0.55%,United Kingdom,Fashion and Accessories Modeling Actor,12.6M,caradelevingne,41332321,1380,2869
10,Jason Statham @jasonstatham,40.5M,2.40%,United Kingdom,Luxury Photography Art,12.2M,jasonstatham,42393492,0,350
11,Lewis Hamilton @lewishamilton,35.3M,3.01%,United Kingdom,Sports Racing Formula1 Riders,10.6M,lewishamilton,37546074,5,1470
12,Victoria Beckham @victoriabeckham,32.7M,0.07%,United Kingdom,Fashion and Accessories Beauty and Self Care Product Showcase Modeling,9.8M,victoriabeckham,33038852,274,5925
13,Arsenal @arsenal,27.7M,0.36%,United Kingdom,Sports Soccer Sports Team Creators & Celebrities,8.3M,arsenal,29800437,211,19306
14,Henry Cavill @henrycavill,27.2M,5.77%,United Kingdom,Art,8.2M,henrycavill,27246324,162,569
15,Mia K. @miakhalifa,26.9M,2.54%,United Kingdom,Entertainment and Music Celebrity Actors,8.1M,miakhalifa,26351655,2281,2265
16,Liam Payne @liampayne,26.8M,4.41%,United Kingdom,Sports Singer,8M,liampayne,26248371,256,21
17,Raphael Varane @raphaelvarane,23.2M,0.72%,United Kingdom,Sports Soccer,7M,raphaelvarane,23079212,254,1207
18,One Direction @onedirection,22.6M,17.92%,United Kingdom,Entertainment and Music Music Band Rock,6.8M,onedirection,22387194,53,733
19,Rosie HW @rosiehw,19.8M,1.25%,United Kingdom,Beauty and Self Care Fashion and Accessories Modeling Entrepreneur,5.9M,rosiehw,20084589,1767,3903
20,Perrie 🖤 @perrieedwards,19.4M,1.24%,United Kingdom,Entertainment and Music Beauty and Self Care Singer Music,5.8M,perrieedwards,19258862,405,1327
21,Louis Tomlinson @louist91,18.2M,3.46%,United Kingdom,Music Shopping,5.5M,louist91,17681740,320,513
22,Little Mix @littlemix,17.6M,1.29%,United Kingdom,Music,5.3M,littlemix,17205538,223,4094
23,Gordon Ramsay @gordongram,17.1M,0.31%,United Kingdom,Food Chef,5.1M,gordongram,18182022,7464,6157
24,Marcus Rashford MBE @marcusrashford,17M,2.60%,United Kingdom,Sports Soccer,5.1M,marcusrashford,17102711,185,933
25,Tottenham Hotspur @spursofficial,16.3M,0.15%,United Kingdom,Sports Sports Team Creators & Celebrities,4.9M,spursofficial,17092409,312,21013
26,RITA ORA @ritaora,16.1M,0.27%,United Kingdom,Entertainment and Music Music Modeling,4.8M,ritaora,16223938,1278,478
27,Dr .🧿Naomi Campbell @naomi,16M,0.40%,United Kingdom,Fashion and Accessories Celebrity Actors Entertainment,4.8M,naomi,15985695,133,102
